question_topic_name,question_grade,question_term,question_unit,question_type1,question_type2,question_filename,question_dataset,question_text
예각과 둔각 알아보기,P4,1,02,1,0,P4_1_02_00043_37153.png,1,
각도기와 자를 이용하여 각 그리기,P4,1,02,1,0,P4_1_02_00042_31016.png,1,
예각과 둔각 알아보기,P4,1,02,1,0,P4_1_02_00042_28267.png,1,
삼각형에서 나머지 한 각의 크기 구하기,P4,1,02,1,0,P4_1_02_00043_37343.png,1,
사다리꼴 알아보기,P4,2,04,1,0,P4_2_04_00043_53938.png,1,
평행 알아보기,P4,2,04,1,0,P4_2_04_00043_52070.png,1,
직각삼각형 알아보기,P3,1,02,1,0,P3_1_02_00042_83605.png,1,
정삼각형의 성질 알아보기,P4,2,02,1,0,P4_2_02_00043_37618.png,1,
직각삼각형 알아보기,P3,1,02,1,0,P3_1_02_00043_35065.png,1,
각 알아보기,P3,1,02,1,0,P3_1_02_00042_32750.png,1,
원을 이용하여 여러 가지 모양 그리기,P3,2,03,1,0,P3_2_03_00042_52643.png,1,
평행 알아보기,P4,2,04,1,0,P4_2_04_00043_52066.png,1,
삼각형을 각의 크기에 따라 분류하기,P4,2,02,1,0,P4_2_02_00042_30376.png,1,
직사각형의 성질 알아보기,P4,2,04,1,0,P4_2_04_00043_54350.png,1,
사다리꼴 알아보기,P4,2,04,1,0,P4_2_04_00043_53955.png,1,
정사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00043_35154.png,1,
삼각형에서 나머지 한 각의 크기 구하기,P4,1,02,1,0,P4_1_02_00042_30183.png,1,
평행사변형의 성질 알아보기,P4,2,04,1,0,P4_2_04_00043_54094.png,1,
원 그리기,P3,2,03,1,0,P3_2_03_00043_53351.png,1,
원을 이용하여 여러 가지 모양 그리기,P3,2,03,1,0,P3_2_03_00043_53877.png,1,
평행 알아보기,P4,2,04,1,0,P4_2_04_00043_52002.png,1,
직각삼각형 알아보기,P3,1,02,1,0,P3_1_02_00042_25464.png,1,
직각 알아보기,P3,1,02,1,0,P3_1_02_00042_25136.png,1,
직각삼각형 알아보기,P3,1,02,1,0,P3_1_02_00043_34675.png,1,
평행사변형 알아보기,P4,2,04,1,0,P4_2_04_00043_54023.png,1,
각도를 어림하고 각도기로 재어 확인하기,P4,1,02,1,0,P4_1_02_00043_37248.png,1,
예각과 둔각 알아보기,P4,1,02,1,0,P4_1_02_00043_37720.png,1,
수직,P4,2,04,1,0,P4_2_04_00043_52186.png,1,
삼각자와 각도기를 이용한 수선 긋기,P4,2,04,1,0,P4_2_04_00043_52237.png,1,
사각형의 나머지 한 각의 크기,P4,1,02,1,0,P4_1_02_00042_28355.png,1,
삼각형에서 나머지 한 각의 크기 구하기,P4,1,02,1,0,P4_1_02_00042_28291.png,1,
원을 이용하여 여러 가지 모양 그리기,P3,2,03,1,0,P3_2_03_00042_92941.png,1,
각 알아보기,P3,1,02,1,0,P3_1_02_00042_25117.png,1,
원 그리기,P3,2,03,1,0,P3_2_03_00042_54106.png,1,
원의 반지름과 지름 알아보기,P3,2,03,1,0,P3_2_03_00043_53308.png,1,
삼각자와 각도기를 이용한 수선 긋기,P4,2,04,1,0,P4_2_04_00043_52262.png,1,
두 각도의 차 구하기,P4,1,02,1,0,P4_1_02_00042_31029.png,1,
평행사변형의 성질 알아보기,P4,2,04,1,0,P4_2_04_00043_54107.png,1,
정삼각형 알아보기,P4,2,02,1,0,P4_2_02_00043_37676.png,1,
두 각도의 합 구하기,P4,1,02,1,0,P4_1_02_00042_28245.png,1,
사각형의 나머지 한 각의 크기,P4,1,02,1,0,P4_1_02_00043_37816.png,1,
지름의 성질 알아보기,P3,2,03,1,0,P3_2_03_00043_53625.png,1,
직사각형과 정사각형의 성질 활용,P4,2,04,1,0,P4_2_04_00043_54371.png,1,
정사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00042_83880.png,1,
정사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00042_32795.png,1,
원 그리기,P3,2,03,1,0,P3_2_03_00043_53358.png,1,
각도기와 자를 이용하여 각 그리기,P4,1,02,1,0,P4_1_02_00043_37199.png,1,
직각삼각형 알아보기,P3,1,02,1,0,P3_1_02_00043_35033.png,1,
원 그리기,P3,2,03,1,0,P3_2_03_00042_53260.png,1,
마름모의 성질 알아보기,P4,2,04,1,0,P4_2_04_00043_54210.png,1,
사각형의 나머지 한 각의 크기,P4,1,02,1,0,P4_1_02_00042_30217.png,1,
직선 알아보기,P3,1,02,1,0,P3_1_02_00043_25539.png,1,
삼각자와 각도기를 이용한 수선 긋기,P4,2,04,1,0,P4_2_04_00043_51956.png,1,
삼각형을 각의 크기에 따라 분류하기,P4,2,02,1,0,P4_2_02_00043_37826.png,1,
원을 이용하여 여러 가지 모양 그리기,P3,2,03,1,0,P3_2_03_00042_92595.png,1,
마름모 알아보기,P4,2,04,1,0,P4_2_04_00043_54135.png,1,
정사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00043_34709.png,1,
삼각형에서 나머지 한 각의 크기 구하기,P4,1,02,1,0,P4_1_02_00042_28333.png,1,
정삼각형의 성질 알아보기,P4,2,02,1,0,P4_2_02_00043_37897.png,1,
원을 이용하여 여러 가지 모양 그리기,P3,2,03,1,0,P3_2_03_00042_53342.png,1,
평행사변형의 성질 알아보기,P4,2,04,1,0,P4_2_04_00042_88346.png,1,
정사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00042_25658.png,1,
지름의 성질 알아보기,P3,2,03,1,0,P3_2_03_00043_53737.png,1,
두 각도의 차 구하기,P4,1,02,1,0,P4_1_02_00043_37308.png,1,
직각삼각형 알아보기,P3,1,02,1,0,P3_1_02_00043_35511.png,1,
정사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00042_25651.png,1,
사각형의 네 각의 크기의 합 구하기,P4,1,02,1,0,P4_1_02_00043_37387.png,1,
직사각형과 정사각형의 성질 활용,P4,2,04,1,0,P4_2_04_00042_92168.png,1,
원 그리기,P3,2,03,1,0,P3_2_03_00042_54104.png,1,
이등변삼각형의 성질 알아보기,P4,2,02,1,0,P4_2_02_00043_37590.png,1,
각 알아보기,P3,1,02,1,0,P3_1_02_00043_34929.png,1,
두 각도의 차 구하기,P4,1,02,1,0,P4_1_02_00042_31023.png,1,
각도의 합 또는 차의 활용,P4,1,02,1,0,P4_1_02_00042_28214.png,1,
마름모의 성질 알아보기,P4,2,04,1,0,P4_2_04_00042_92508.png,1,
수직,P4,2,04,1,0,P4_2_04_00043_52214.png,1,
직선 알아보기,P3,1,02,1,0,P3_1_02_00043_34889.png,1,
사각형의 나머지 한 각의 크기,P4,1,02,1,0,P4_1_02_00042_28076.png,1,
이등변삼각형의 성질 알아보기,P4,2,02,1,0,P4_2_02_00043_37583.png,1,
삼각형의 변의 길이에 따라 분류하기,P4,2,02,1,0,P4_2_02_00043_37832.png,1,
삼각자와 각도기를 이용한 수선 긋기,P4,2,04,1,0,P4_2_04_00043_52245.png,1,
이등변삼각형 알아보기,P4,2,02,1,0,P4_2_02_00043_37637.png,1,
마름모의 성질 알아보기,P4,2,04,1,0,P4_2_04_00042_56766.png,1,
직선 알아보기,P3,1,02,1,0,P3_1_02_00043_34898.png,1,
사다리꼴 알아보기,P4,2,04,1,0,P4_2_04_00042_56689.png,1,
마름모의 성질 알아보기,P4,2,04,1,0,P4_2_04_00043_54179.png,1,
두 각도의 합 구하기,P4,1,02,1,0,P4_1_02_00042_28230.png,1,
각 알아보기,P3,1,02,1,0,P3_1_02_00042_99999.png,1,
각을 이용하여 정삼각형 그리기,P4,2,02,1,0,P4_2_02_00043_37526.png,1,
정사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00043_35174.png,1,
두 각도의 차 구하기,P4,1,02,1,0,P4_1_02_00042_28211.png,1,
예각과 둔각 알아보기,P4,1,02,1,0,P4_1_02_00042_83933.png,1,
직각삼각형 알아보기,P3,1,02,1,0,P3_1_02_00043_00029.png,1,
직각 알아보기,P3,1,02,1,0,P3_1_02_00042_21797.png,1,
원 그리기,P3,2,03,1,0,P3_2_03_00043_53377.png,1,
마름모 알아보기,P4,2,04,1,0,P4_2_04_00043_54148.png,1,
원의 반지름과 지름 알아보기,P3,2,03,1,0,P3_2_03_00043_53295.png,1,
삼각형에서 나머지 한 각의 크기 구하기,P4,1,02,1,0,P4_1_02_00042_98915.png,1,
지름의 성질 알아보기,P3,2,03,1,0,P3_2_03_00043_53479.png,1,
직사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00042_25509.png,1,
삼각자를 사용하여 평행선 긋기,P4,2,04,1,0,P4_2_04_00042_92488.png,1,
원을 이용하여 여러 가지 모양 그리기,P3,2,03,1,0,P3_2_03_00043_53830.png,1,
각도기와 자를 이용하여 각 그리기,P4,1,02,1,0,P4_1_02_00042_30123.png,1,
직사각형과 정사각형의 성질 활용,P4,2,04,1,0,P4_2_04_00043_54334.png,1,
정삼각형의 성질 알아보기,P4,2,02,1,0,P4_2_02_00043_37603.png,1,
마름모의 성질 알아보기,P4,2,04,1,0,P4_2_04_00042_55771.png,1,
사각형의 나머지 한 각의 크기,P4,1,02,1,0,P4_1_02_00043_37811.png,1,
마름모 알아보기,P4,2,04,1,0,P4_2_04_00043_54138.png,1,
이등변삼각형의 성질 알아보기,P4,2,02,1,0,P4_2_02_00043_37889.png,1,
삼각형을 각의 크기에 따라 분류하기,P4,2,02,1,0,P4_2_02_00043_37662.png,1,
수직,P4,2,04,1,0,P4_2_04_00043_51910.png,1,
정사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00042_25214.png,1,
마름모의 성질 알아보기,P4,2,04,1,0,P4_2_04_00042_55775.png,1,
사각형의 나머지 한 각의 크기,P4,1,02,1,0,P4_1_02_00042_98943.png,1,
원 그리기,P3,2,03,1,0,P3_2_03_00042_53296.png,1,
직사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00043_35087.png,1,
삼각형을 각의 크기에 따라 분류하기,P4,2,02,1,0,P4_2_02_00043_37436.png,1,
평행 알아보기,P4,2,04,1,0,P4_2_04_00043_52382.png,1,
정사각형의 성질 알아보기,P4,2,04,1,0,P4_2_04_00043_54274.png,1,
평행사변형 알아보기,P4,2,04,1,0,P4_2_04_00042_92503.png,1,
직사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00043_34693.png,1,
삼각형의 변의 길이에 따라 분류하기,P4,2,02,1,0,P4_2_02_00043_37853.png,1,
평행선 사이의 거리 알아보기,P4,2,04,1,0,P4_2_04_00044_36751.png,1,
직사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00042_25204.png,1,
각의 크기 비교하기,P4,1,02,1,0,P4_1_02_00042_30085.png,1,
직사각형의 성질 알아보기,P4,2,04,1,0,P4_2_04_00043_54358.png,1,
사각형의 나머지 한 각의 크기,P4,1,02,1,0,P4_1_02_00042_83452.png,1,
삼각형을 각의 크기에 따라 분류하기,P4,2,02,1,0,P4_2_02_00043_37831.png,1,
수직,P4,2,04,1,0,P4_2_04_00043_52210.png,1,
사각형의 나머지 한 각의 크기,P4,1,02,1,0,P4_1_02_00043_37814.png,1,
각 알아보기,P3,1,02,1,0,P3_1_02_00043_34936.png,1,
수직,P4,2,04,1,0,P4_2_04_00043_52218.png,1,
수직,P4,2,04,1,0,P4_2_04_00043_51895.png,1,
직각 알아보기,P3,1,02,1,0,P3_1_02_00043_35015.png,1,
삼각자를 사용하여 평행선 긋기,P4,2,04,1,0,P4_2_04_00043_52113.png,1,
마름모 알아보기,P4,2,04,1,0,P4_2_04_00043_54133.png,1,
마름모의 성질 알아보기,P4,2,04,1,0,P4_2_04_00042_56752.png,1,
평행 알아보기,P4,2,04,1,0,P4_2_04_00043_52076.png,1,
예각과 둔각 알아보기,P4,1,02,1,0,P4_1_02_00042_99023.png,1,
원을 이용하여 여러 가지 모양 그리기,P3,2,03,1,0,P3_2_03_00043_53808.png,1,
두 각도의 차 구하기,P4,1,02,1,0,P4_1_02_00042_28240.png,1,
원의 반지름과 지름 알아보기,P3,2,03,1,0,P3_2_03_00043_53323.png,1,
평행선 사이의 거리 알아보기,P4,2,04,1,0,P4_2_04_00044_36787.png,1,
직각 알아보기,P3,1,02,1,0,P3_1_02_00043_35005.png,1,
마름모 알아보기,P4,2,04,1,0,P4_2_04_00043_54163.png,1,
직각삼각형 알아보기,P3,1,02,1,0,P3_1_02_00043_34668.png,1,
평행사변형의 성질 알아보기,P4,2,04,1,0,P4_2_04_00043_54074.png,1,
삼각자를 사용하여 평행선 긋기,P4,2,04,1,0,P4_2_04_00043_52101.png,1,
삼각자와 각도기를 이용한 수선 긋기,P4,2,04,1,0,P4_2_04_00043_51935.png,1,
삼각형에서 나머지 한 각의 크기 구하기,P4,1,02,1,0,P4_1_02_00043_37357.png,1,
삼각형에서 나머지 한 각의 크기 구하기,P4,1,02,1,0,P4_1_02_00042_28260.png,1,
정사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00043_34730.png,1,
사각형의 나머지 한 각의 크기,P4,1,02,1,0,P4_1_02_00042_28374.png,1,
직사각형과 정사각형의 성질 활용,P4,2,04,1,0,P4_2_04_00042_55805.png,1,
삼각형에서 나머지 한 각의 크기 구하기,P4,1,02,1,0,P4_1_02_00042_30188.png,1,
둔각삼각형 알아보기,P4,2,02,1,0,P4_2_02_00042_28730.png,1,
두 각도의 차 구하기,P4,1,02,1,0,P4_1_02_00042_27485.png,1,
평행 알아보기,P4,2,04,1,0,P4_2_04_00043_52326.png,1,
삼각형에서 나머지 한 각의 크기 구하기,P4,1,02,1,0,P4_1_02_00043_37267.png,1,
정사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00043_34728.png,1,
각도를 나타내는 단위 알아보기,P4,1,02,1,0,P4_1_02_00042_30109.png,1,
삼각형의 세 각의 크기의 합 구하기,P4,1,02,1,0,P4_1_02_00042_30174.png,1,
직각삼각형 알아보기,P3,1,02,1,0,P3_1_02_00042_25483.png,1,
두 각도의 차 구하기,P4,1,02,1,0,P4_1_02_00042_31082.png,1,
예각과 둔각 알아보기,P4,1,02,1,0,P4_1_02_00042_28359.png,1,
수직,P4,2,04,1,0,P4_2_04_00043_51899.png,1,
평행사변형의 성질 알아보기,P4,2,04,1,0,P4_2_04_00043_54755.png,1,
원의 반지름과 지름 알아보기,P3,2,03,1,0,P3_2_03_00043_53255.png,1,
평행사변형의 성질 알아보기,P4,2,04,1,0,P4_2_04_00042_55740.png,1,
정사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00042_25469.png,1,
두 각도의 차 구하기,P4,1,02,1,0,P4_1_02_00042_83891.png,1,
원 그리기,P3,2,03,1,0,P3_2_03_00043_53365.png,1,
원의 반지름과 지름 알아보기,P3,2,03,1,0,P3_2_03_00042_53235.png,1,
각 알아보기,P3,1,02,1,0,P3_1_02_00042_25354.png,1,
직사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00043_35094.png,1,
삼각형의 변의 길이에 따라 분류하기,P4,2,02,1,0,P4_2_02_00043_37512.png,1,
삼각형을 각의 크기에 따라 분류하기,P4,2,02,1,0,P4_2_02_00042_28744.png,1,
지름의 성질 알아보기,P3,2,03,1,0,P3_2_03_00043_53716.png,1,
삼각자와 각도기를 이용한 수선 긋기,P4,2,04,1,0,P4_2_04_00043_51988.png,1,
각을 이용하여 정삼각형 그리기,P4,2,02,1,0,P4_2_02_00043_37841.png,1,
사각형의 네 각의 크기의 합 구하기,P4,1,02,1,0,P4_1_02_00042_28351.png,1,
직각 알아보기,P3,1,02,1,0,P3_1_02_00042_25421.png,1,
직각 알아보기,P3,1,02,1,0,P3_1_02_00042_32764.png,1,
직사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00043_35101.png,1,
평행 알아보기,P4,2,04,1,0,P4_2_04_00043_52072.png,1,
각도의 합 또는 차의 활용,P4,1,02,1,0,P4_1_02_00042_28025.png,1,
평행사변형의 성질 알아보기,P4,2,04,1,0,P4_2_04_00043_54063.png,1,
삼각형을 각의 크기에 따라 분류하기,P4,2,02,1,0,P4_2_02_00042_28766.png,1,
원을 이용하여 여러 가지 모양 그리기,P3,2,03,1,0,P3_2_03_00043_53759.png,1,
직사각형과 정사각형의 성질 활용,P4,2,04,1,0,P4_2_04_00043_54305.png,1,
삼각형을 각의 크기에 따라 분류하기,P4,2,02,1,0,P4_2_02_00042_29755.png,1,
삼각형에서 나머지 한 각의 크기 구하기,P4,1,02,1,0,P4_1_02_00042_28058.png,1,
직사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00043_00051.png,1,
예각과 둔각 알아보기,P4,1,02,1,0,P4_1_02_00043_37140.png,1,
사각형의 네 각의 크기의 합 구하기,P4,1,02,1,0,P4_1_02_00043_37381.png,1,
삼각형을 각의 크기에 따라 분류하기,P4,2,02,1,0,P4_2_02_00042_99047.png,1,
직각 알아보기,P3,1,02,1,0,P3_1_02_00042_25427.png,1,
삼각형을 각의 크기에 따라 분류하기,P4,2,02,1,0,P4_2_02_00042_28760.png,1,
원 그리기,P3,2,03,1,0,P3_2_03_00042_53266.png,1,
각도를 나타내는 단위 알아보기,P4,1,02,1,0,P4_1_02_00043_37097.png,1,
마름모 알아보기,P4,2,04,1,0,P4_2_04_00043_54131.png,1,
예각과 둔각 알아보기,P4,1,02,1,0,P4_1_02_00043_37191.png,1,
직사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00042_25549.png,1,
삼각자를 사용하여 평행선 긋기,P4,2,04,1,0,P4_2_04_00043_52371.png,1,
사각형의 나머지 한 각의 크기,P4,1,02,1,0,P4_1_02_00042_84311.png,1,
직각삼각형 알아보기,P3,1,02,1,0,P3_1_02_00043_35026.png,1,
원의 반지름과 지름 알아보기,P3,2,03,1,0,P3_2_03_00043_53251.png,1,
이등변삼각형의 성질 알아보기,P4,2,02,1,0,P4_2_02_00043_37599.png,1,
각의 크기 비교하기,P4,1,02,1,0,P4_1_02_00043_37055.png,1,
직사각형의 성질 알아보기,P4,2,04,1,0,P4_2_04_00042_92176.png,1,
수직,P4,2,04,1,0,P4_2_04_00043_52269.png,1,
정사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00042_25580.png,1,
직사각형과 정사각형의 성질 활용,P4,2,04,1,0,P4_2_04_00042_56785.png,1,
삼각형에서 나머지 한 각의 크기 구하기,P4,1,02,1,0,P4_1_02_00042_28056.png,1,
직사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00043_35112.png,1,
수직,P4,2,04,1,0,P4_2_04_00043_51891.png,1,
정사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00042_83871.png,1,
수직,P4,2,04,1,0,P4_2_04_00043_52170.png,1,
정사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00042_25254.png,1,
평행 알아보기,P4,2,04,1,0,P4_2_04_00043_52301.png,1,
마름모의 성질 알아보기,P4,2,04,1,0,P4_2_04_00042_56754.png,1,
두 각도의 차 구하기,P4,1,02,1,0,P4_1_02_00043_37268.png,1,
삼각형을 각의 크기에 따라 분류하기,P4,2,02,1,0,P4_2_02_00043_37700.png,1,
삼각형에서 나머지 한 각의 크기 구하기,P4,1,02,1,0,P4_1_02_00043_37295.png,1,
직각 알아보기,P3,1,02,1,0,P3_1_02_00043_34659.png,1,
각도기를 이용하여 각도 재기,P4,1,02,1,0,P4_1_02_00043_37112.png,1,
두 각도의 차 구하기,P4,1,02,1,0,P4_1_02_00042_31031.png,1,
각도를 나타내는 단위 알아보기,P4,1,02,1,0,P4_1_02_00042_31013.png,1,
직사각형과 정사각형의 성질 활용,P4,2,04,1,0,P4_2_04_00043_54275.png,1,
직각삼각형 알아보기,P3,1,02,1,0,P3_1_02_00042_25172.png,1,
평행 알아보기,P4,2,04,1,0,P4_2_04_00043_52329.png,1,
