{'question_topic_name': '수직', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_51983.png'}
{'question_topic_name': '삼각형에서 나머지 한 각의 크기 구하기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00042_30177.png'}
{'question_topic_name': '각도를 나타내는 단위 알아보기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00043_37091.png'}
{'question_topic_name': '삼각형에서 나머지 한 각의 크기 구하기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00042_28314.png'}
{'question_topic_name': '직선 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00043_34908.png'}
{'question_topic_name': '직선 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00043_34626.png'}
{'question_topic_name': '지름의 성질 알아보기', 'question_grade': 'P3', 'question_term': 2, 'question_unit': '03', 'question_type1': '단답형', 'question_type2': 2, 'question_filename': 'P3_2_03_00043_53465.png'}
{'question_topic_name': '마름모의 성질 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00042_56753.png'}
{'question_topic_name': '사다리꼴 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_53964.png'}
{'question_topic_name': '정사각형의 성질 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_54312.png'}
{'question_topic_name': '평행 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_52349.png'}
{'question_topic_name': '평행 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_52023.png'}
{'question_topic_name': '정삼각형의 성질 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_02_00043_37494.png'}
{'question_topic_name': '직각 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00043_35022.png'}
{'question_topic_name': '삼각자를 사용하여 평행선 긋기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_52115.png'}
{'question_topic_name': '사다리꼴 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00042_55729.png'}
{'question_topic_name': '각도기를 이용하여 각도 재기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00042_30110.png'}
{'question_topic_name': '두 각도의 차 구하기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 2, 'question_filename': 'P4_1_02_00042_28234.png'}
{'question_topic_name': '각도기를 이용하여 각도 재기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00042_28125.png'}
{'question_topic_name': '평행선 사이의 거리 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00044_36923.png'}
{'question_topic_name': '직사각형과 정사각형의 성질 활용', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00042_92825.png'}
{'question_topic_name': '수직', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_52190.png'}
{'question_topic_name': '각 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00042_25388.png'}
{'question_topic_name': '각의 크기 비교하기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00043_37061.png'}
{'question_topic_name': '원의 반지름과 지름 알아보기', 'question_grade': 'P3', 'question_term': 2, 'question_unit': '03', 'question_type1': '단답형', 'question_type2': 2, 'question_filename': 'P3_2_03_00043_53315.png'}
{'question_topic_name': '예각과 둔각 알아보기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00042_31089.png'}
{'question_topic_name': '예각과 둔각 알아보기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00042_99015.png'}
{'question_topic_name': '사다리꼴 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_54003.png'}
{'question_topic_name': '예각삼각형 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 2, 'question_filename': 'P4_2_02_00042_28326.png'}
{'question_topic_name': '지름의 성질 알아보기', 'question_grade': 'P3', 'question_term': 2, 'question_unit': '03', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_2_03_00043_53702.png'}
{'question_topic_name': '삼각형을 각의 크기에 따라 분류하기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_02_00042_30382.png'}
{'question_topic_name': '각의 크기 비교하기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00043_37059.png'}
{'question_topic_name': '원을 이용하여 여러 가지 모양 그리기', 'question_grade': 'P3', 'question_term': 2, 'question_unit': '03', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_2_03_00042_53343.png'}
{'question_topic_name': '두 각도의 차 구하기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00043_37287.png'}
{'question_topic_name': '둔각삼각형 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_02_00042_28307.png'}
{'question_topic_name': '직사각형과 정사각형의 성질 활용', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00042_92195.png'}
{'question_topic_name': '이등변삼각형의 성질 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_02_00043_37887.png'}
{'question_topic_name': '마름모의 성질 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_54165.png'}
{'question_topic_name': '두 각도의 차 구하기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00043_37310.png'}
{'question_topic_name': '원을 이용하여 여러 가지 모양 그리기', 'question_grade': 'P3', 'question_term': 2, 'question_unit': '03', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_2_03_00042_52641.png'}
{'question_topic_name': '사각형의 나머지 한 각의 크기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00042_28407.png'}
{'question_topic_name': '평행 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_52342.png'}
{'question_topic_name': '각 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00042_29203.png'}
{'question_topic_name': '정사각형의 특징 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00043_34715.png'}
{'question_topic_name': '직각삼각형 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00042_83654.png'}
{'question_topic_name': '직각삼각형 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00042_25278.png'}
{'question_topic_name': '정사각형의 특징 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00042_25684.png'}
{'question_topic_name': '각을 이용하여 이등변삼각형 그리기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_02_00043_37510.png'}
{'question_topic_name': '삼각자를 사용하여 평행선 긋기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00042_55709.png'}
{'question_topic_name': '직사각형의 특징 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00043_00060.png'}
{'question_topic_name': '직사각형의 특징 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00042_25444.png'}
{'question_topic_name': '원을 이용하여 여러 가지 모양 그리기', 'question_grade': 'P3', 'question_term': 2, 'question_unit': '03', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_2_03_00043_53791.png'}
{'question_topic_name': '삼각형의 세 각의 크기의 합 구하기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00042_30189.png'}
{'question_topic_name': '둔각삼각형 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_02_00042_30387.png'}
{'question_topic_name': '직각 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00042_25125.png'}
{'question_topic_name': '예각과 둔각 알아보기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00043_37139.png'}
{'question_topic_name': '예각과 둔각 알아보기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00042_84329.png'}
{'question_topic_name': '삼각형을 각의 크기에 따라 분류하기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_02_00043_37484.png'}
{'question_topic_name': '직각 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00042_25441.png'}
{'question_topic_name': '각의 크기 비교하기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00043_37046.png'}
{'question_topic_name': '원을 이용하여 여러 가지 모양 그리기', 'question_grade': 'P3', 'question_term': 2, 'question_unit': '03', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_2_03_00043_53844.png'}
{'question_topic_name': '정사각형의 특징 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 2, 'question_filename': 'P3_1_02_00043_34718.png'}
{'question_topic_name': '직사각형의 특징 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00043_34681.png'}
{'question_topic_name': '삼각형을 각의 크기에 따라 분류하기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_02_00043_37430.png'}
{'question_topic_name': '원의 반지름과 지름 알아보기', 'question_grade': 'P3', 'question_term': 2, 'question_unit': '03', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_2_03_00042_53243.png'}
{'question_topic_name': '평행선 사이의 거리 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00044_36891.png'}
{'question_topic_name': '평행사변형의 성질 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_54097.png'}
{'question_topic_name': '두 각도의 차 구하기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 2, 'question_filename': 'P4_1_02_00042_28015.png'}
{'question_topic_name': '주어진 거리의 평행선 긋기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00044_36870.png'}
{'question_topic_name': '삼각자와 각도기를 이용한 수선 긋기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_51934.png'}
{'question_topic_name': '평행사변형의 성질 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00042_55745.png'}
{'question_topic_name': '직각삼각형 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00042_32779.png'}
{'question_topic_name': '원을 이용하여 여러 가지 모양 그리기', 'question_grade': 'P3', 'question_term': 2, 'question_unit': '03', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_2_03_00043_53771.png'}
{'question_topic_name': '예각과 둔각 알아보기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00043_37144.png'}
{'question_topic_name': '둔각삼각형 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_02_00042_83942.png'}
{'question_topic_name': '예각과 둔각 알아보기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00043_37153.png'}
{'question_topic_name': '각도기와 자를 이용하여 각 그리기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00042_31016.png'}
{'question_topic_name': '예각과 둔각 알아보기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00042_28267.png'}
{'question_topic_name': '삼각형에서 나머지 한 각의 크기 구하기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00043_37343.png'}
{'question_topic_name': '사다리꼴 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_53938.png'}
{'question_topic_name': '평행 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_52070.png'}
{'question_topic_name': '직각삼각형 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00042_83605.png'}
{'question_topic_name': '정삼각형의 성질 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_02_00043_37618.png'}
{'question_topic_name': '직각삼각형 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00043_35065.png'}
{'question_topic_name': '각 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00042_32750.png'}
{'question_topic_name': '원을 이용하여 여러 가지 모양 그리기', 'question_grade': 'P3', 'question_term': 2, 'question_unit': '03', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_2_03_00042_52643.png'}
{'question_topic_name': '평행 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_52066.png'}
{'question_topic_name': '삼각형을 각의 크기에 따라 분류하기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_02_00042_30376.png'}
{'question_topic_name': '직사각형의 성질 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_54350.png'}
{'question_topic_name': '사다리꼴 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_53955.png'}
{'question_topic_name': '정사각형의 특징 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00043_35154.png'}
{'question_topic_name': '삼각형에서 나머지 한 각의 크기 구하기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00042_30183.png'}
{'question_topic_name': '평행사변형의 성질 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_54094.png'}
{'question_topic_name': '원 그리기', 'question_grade': 'P3', 'question_term': 2, 'question_unit': '03', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_2_03_00043_53351.png'}
{'question_topic_name': '원을 이용하여 여러 가지 모양 그리기', 'question_grade': 'P3', 'question_term': 2, 'question_unit': '03', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_2_03_00043_53877.png'}
{'question_topic_name': '평행 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_52002.png'}
{'question_topic_name': '직각삼각형 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00042_25464.png'}
{'question_topic_name': '직각 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00042_25136.png'}
{'question_topic_name': '직각삼각형 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00043_34675.png'}
{'question_topic_name': '평행사변형 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_54023.png'}
{'question_topic_name': '각도를 어림하고 각도기로 재어 확인하기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00043_37248.png'}
{'question_topic_name': '예각과 둔각 알아보기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00043_37720.png'}
{'question_topic_name': '수직', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_52186.png'}
{'question_topic_name': '삼각자와 각도기를 이용한 수선 긋기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_52237.png'}
{'question_topic_name': '사각형의 나머지 한 각의 크기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00042_28355.png'}
{'question_topic_name': '삼각형에서 나머지 한 각의 크기 구하기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00042_28291.png'}
{'question_topic_name': '원을 이용하여 여러 가지 모양 그리기', 'question_grade': 'P3', 'question_term': 2, 'question_unit': '03', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_2_03_00042_92941.png'}
{'question_topic_name': '각 알아보기', 'question_grade': 'P3', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_1_02_00042_25117.png'}
{'question_topic_name': '원 그리기', 'question_grade': 'P3', 'question_term': 2, 'question_unit': '03', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_2_03_00042_54106.png'}
{'question_topic_name': '원의 반지름과 지름 알아보기', 'question_grade': 'P3', 'question_term': 2, 'question_unit': '03', 'question_type1': '단답형', 'question_type2': 2, 'question_filename': 'P3_2_03_00043_53308.png'}
{'question_topic_name': '삼각자와 각도기를 이용한 수선 긋기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_52262.png'}
{'question_topic_name': '두 각도의 차 구하기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00042_31029.png'}
{'question_topic_name': '평행사변형의 성질 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '04', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_04_00043_54107.png'}
{'question_topic_name': '정삼각형 알아보기', 'question_grade': 'P4', 'question_term': 2, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_2_02_00043_37676.png'}
{'question_topic_name': '두 각도의 합 구하기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00042_28245.png'}
{'question_topic_name': '사각형의 나머지 한 각의 크기', 'question_grade': 'P4', 'question_term': 1, 'question_unit': '02', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P4_1_02_00043_37816.png'}
{'question_topic_name': '지름의 성질 알아보기', 'question_grade': 'P3', 'question_term': 2, 'question_unit': '03', 'question_type1': '단답형', 'question_type2': 1, 'question_filename': 'P3_2_03_00043_53625.png'}
